Epochs,Dataset,architecture,Execution Time (s),Losses,Accuracies,Classes,NMI
[5],['cifar10'],['alexnet'],[174.50033473968506],[[2.2791566848754883]],[[0.1642223447561264]],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[[]]
[5],['cifar10'],['alexnet'],[527.3394134044647],"[[0.9347886443138123, 0.24751481413841248]]","[[0.49272698163986206, 0.9602181911468506]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[[0.34200438700539976]]
[5],['cifar10'],['alexnet'],[1210.1826748847961],"[[0.2931707203388214, 0.37838560342788696, 0.2582304775714874]]","[[0.9481697678565979, 0.9290481209754944, 0.9528052806854248]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[[0.6603056106179858, 0.4200174990370789]]"
[5],['cifar10'],['alexnet'],[2022.64204621315],"[[0.23044919967651367, 0.2797868847846985, 0.332633912563324, 0.33535516262054443]]","[[0.9561620950698853, 0.9482896327972412, 0.9330442547798157, 0.9404371976852417]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[[0.7210761002343622, 0.7241940006423933, 0.7436192053698542]]"
[5],['cifar10'],['alexnet'],[3025.732213497162],"[[0.3602021038532257, 0.28227007389068604, 0.21464625000953674, 0.24978932738304138, 0.21112647652626038]]","[[0.9369205832481384, 0.9492886662483215, 0.963515043258667, 0.9537643790245056, 0.9633151888847351]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[[0.04260257724530798, 0.2291588502373795, 0.530689825378516, 0.8655576948930255]]"
