#Namespace(arch='AlexNet', batch_size=256, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=None, clustering='sklearn', data_dir='./data', dataset='tinyimagenet', epochs=50, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=200, optimizer='SGD', optimizer_tl='SGD', pca=True, pca_method='sklearn', pca_reduction=256, pca_whitening=True, reassign_optimizer_tl=False, seed=42, sobel=True, verbose=False, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,accuracy,nmi_true_ped,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,4.870491,0.037537962,0.11334444944715776,0.0,1038.7964355945587,564.5586504936218,318.1981472969055,140.90813899040222,14.97378921508789
1,4.4746385,0.05400016,0.09779890529777188,0.22007688205223297,1071.854619026184,575.6318378448486,316.13953852653503,150.22092938423157,15.974545955657959
2,4.482171,0.054048114,0.09921375894945607,0.39348577622804276,1062.6610028743744,558.5071678161621,328.89751958847046,141.5794427394867,15.078840970993042
3,4.3301716,0.06671795,0.09834551207701875,0.45839640038321344,1017.628256559372,560.8167903423309,281.4919173717499,147.28381824493408,14.348666191101074
4,4.334265,0.06605259,0.10088341248102152,0.4834348745965308,1045.7876245975494,586.402575969696,279.4083933830261,145.04221558570862,18.676116943359375
5,4.3955317,0.06079364,0.10174571656987988,0.4882811636576846,1068.7068367004395,566.2993078231812,333.41685605049133,145.1497266292572,14.891383409500122
6,4.281668,0.07251838,0.10957514800864934,0.45262696033159144,1039.860921382904,547.6118040084839,314.754341840744,154.0624122619629,15.424616575241089
7,4.3119407,0.06653213,0.10688115764469486,0.4007086435007094,1040.904866218567,548.6704459190369,321.09081959724426,141.74849128723145,14.400147199630737
8,4.172497,0.0847986,0.12316562207296769,0.40596787129852285,1077.4622571468353,578.0289120674133,326.9167289733887,149.53711581230164,14.974247694015503
9,4.1130705,0.0894821,0.12414110230647071,0.4358070760864711,1064.353333234787,530.8150856494904,333.0514769554138,142.2349066734314,24.931294918060303
10,4.04458,0.10022779,0.12822590199794257,0.4902311828041585,978.2061896324158,525.8098390102386,279.07984232902527,143.32951140403748,14.97860860824585
11,4.060345,0.097500406,0.12576660376211846,0.46232069049911345,980.5810220241547,528.4854893684387,269.5771896839142,146.98565673828125,20.464004278182983
12,4.15602,0.086237215,0.12317648072321581,0.42916877205790105,988.3810884952545,566.0168204307556,249.4464430809021,151.4619312286377,14.308576583862305
13,4.189927,0.082169116,0.12062968770134799,0.41287602856747374,1000.3739552497864,526.5719037055969,298.68971705436707,151.1527247428894,14.437758922576904
14,4.359619,0.07167319,0.11861414243210174,0.35461676316925395,949.663489818573,536.2595207691193,246.11433482170105,145.45659279823303,14.304883241653442
15,4.2374644,0.08386149,0.11932697884097776,0.4925796331860875,978.3346133232117,521.0453145503998,293.61206316947937,142.3734393119812,14.233829498291016
16,4.2562475,0.085112296,0.11977619080829086,0.4772532000732831,982.8695328235626,565.8149161338806,238.1899209022522,149.23125863075256,19.665293216705322
17,4.2131925,0.0893742,0.11444815945726797,0.45825855796202986,997.7808208465576,540.4583783149719,287.58571314811707,146.88726925849915,14.017717361450195
18,4.1947317,0.093408324,0.12010564464488968,0.4214984873385632,969.4562630653381,525.5469300746918,278.93187499046326,135.90341925621033,22.11307954788208
19,4.2508483,0.08918838,0.1144053610958014,0.4062759031245532,847.6378607749939,455.5563418865204,221.3493571281433,147.32760047912598,16.681946992874146
20,4.2165937,0.090105504,0.11197330251424417,0.4407818635607676,853.9262402057648,463.8877067565918,226.62192487716675,137.44034051895142,19.81784701347351
21,4.1320457,0.10108296,0.11865055257393635,0.4535279615164567,860.6886365413666,455.5613033771515,235.75927352905273,146.002827167511,16.55728578567505
