#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=None, clustering='sklearn', data_dir='./data', dataset='tinyimagenet', epochs=50, input_dim=3, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=200, optimizer='SGD', optimizer_tl='SGD', pca_method='sklearn', pca_reduction=256, pca_whitening=True, seed=42, sobel=False, verbose=False, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,accuracy,nmi_true_ped,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,5.074816,0.021849025,0.13553974677574787,0.0,854.1988825798035,458.7093892097473,245.00111055374146,133.62520933151245,16.674755811691284
1,4.9405594,0.029901294,0.11513732136276623,0.3010994761449113,841.112220287323,449.1563081741333,221.30909991264343,141.28661370277405,14.903428554534912
2,4.8142705,0.038153373,0.11005695037158433,0.3057475366081215,847.7405588626862,452.10671496391296,220.92812609672546,144.1851658821106,14.325971364974976
3,4.779457,0.043048672,0.1204070258001971,0.3430152582178094,839.08500623703,450.02256655693054,222.12702536582947,136.6270580291748,14.821054935455322
4,4.7426543,0.044027735,0.11778645402698379,0.35905157359687656,840.6034395694733,451.0661664009094,221.23411655426025,140.37446427345276,14.233110666275024
5,4.65826,0.050911125,0.12090985645057636,0.3781104977353713,1017.5026149749756,622.9980366230011,220.67329049110413,142.4283709526062,14.396861791610718
6,4.5791125,0.06002238,0.11878807851941463,0.4271775056353675,837.8657400608063,449.4490222930908,220.52164721488953,137.3774893283844,14.212102890014648
7,4.609956,0.054247923,0.11795137637984407,0.4039754632391568,844.2042574882507,447.775990486145,221.09287667274475,144.57882165908813,14.225253343582153
8,4.562977,0.061141305,0.11586811654379707,0.40404498058526267,837.7390205860138,454.37443709373474,222.8627164363861,139.97984719276428,14.235795259475708
9,4.548081,0.05835398,0.1159672886779471,0.41503080344185034,868.8726580142975,455.84268283843994,233.29395151138306,148.0039095878601,14.62512731552124
10,4.3567553,0.07573729,0.12494877030654085,0.43125461625723055,848.6194460391998,460.7496440410614,226.6324601173401,140.95755648612976,14.237217903137207
11,4.4270372,0.07269022,0.11940522210248371,0.39795427067759004,842.4998877048492,448.5345690250397,224.52083206176758,139.99539303779602,14.374015808105469
12,4.4604163,0.06794477,0.11870626728870083,0.4072347780496324,834.6362597942352,450.21583008766174,224.0499165058136,139.96258091926575,14.413798809051514
13,4.3263035,0.0810422,0.11777558093286893,0.4419079057219174,826.7500112056732,449.9879159927368,222.1106333732605,131.95905828475952,16.42643666267395
14,4.345864,0.07930387,0.12141036518368388,0.45256972407382406,842.6623651981354,450.39096450805664,220.3026692867279,141.71788501739502,14.549561023712158
15,4.3497853,0.07893422,0.11706823360401365,0.4533447833330386,880.2911942005157,494.95149970054626,222.27292847633362,140.05677318572998,17.126842737197876
16,4.298286,0.08419917,0.11890844108236749,0.4818881018196437,1884.80961561203,967.2241792678833,414.41584515571594,427.5045623779297,67.62596869468689
17,4.286212,0.085098304,0.1196700976359906,0.4564870393897355,1836.7397952079773,867.0071468353271,468.5464367866516,415.8533585071564,69.64401292800903
18,4.3274045,0.080532685,0.1188471263268376,0.44982091513875155,1814.7884051799774,885.4064390659332,469.18653321266174,378.1418421268463,65.53309679031372
19,4.323925,0.0825008,0.1185819942892948,0.47031094746520546,957.1897451877594,455.04250383377075,330.26438760757446,144.11410570144653,20.673972845077515
20,4.2658534,0.09129236,0.12312289368649429,0.3797031731123061,839.9129459857941,453.5679805278778,226.2744870185852,139.531986951828,14.227231740951538
21,4.245462,0.08568774,0.11725070400338887,0.4033744200813332,860.2077927589417,455.12579464912415,227.84205436706543,143.10459566116333,18.335680723190308
22,4.209641,0.09476902,0.12177378007749781,0.45267535842181855,870.7350811958313,468.304482460022,236.2739646434784,142.95541763305664,16.732341051101685
23,4.2389917,0.09244125,0.12312930514692123,0.4701171169051123,880.1206533908844,467.91452646255493,234.70265173912048,150.38053488731384,14.763326406478882
24,4.201441,0.09578805,0.12387568881367778,0.4478134697402278,871.2135245800018,472.17829513549805,232.93174839019775,144.61423015594482,14.743022203445435
25,4.2902346,0.088544995,0.11570892360934594,0.44900797030365075,875.9057953357697,463.4284465312958,230.68400478363037,147.42175555229187,18.32067370414734
26,4.349241,0.08035286,0.11477005076422153,0.439848216723008,876.2402021884918,467.4151442050934,232.58377981185913,143.21036338806152,27.068438053131104
27,4.372966,0.07867447,0.11453174083712264,0.46345550769664273,889.6068382263184,468.350821018219,244.0004448890686,147.1716856956482,23.775479793548584
28,4.226234,0.09377997,0.11777864589963968,0.4391537849970121,875.3157081604004,465.4227023124695,235.80346989631653,150.03714108467102,17.506224155426025
29,4.31256,0.086496964,0.11666251572426271,0.44647364720994814,866.4293081760406,464.2663149833679,231.80241203308105,149.48747611045837,14.807720184326172
30,4.3400097,0.08196132,0.11125772155326534,0.40244291100641527,862.4139561653137,465.49035573005676,232.63111114501953,143.5419101715088,14.530855894088745
31,4.3872356,0.07754555,0.11035981401324027,0.42403651495368055,883.9296884536743,474.36078214645386,244.36970496177673,144.35635328292847,14.398449420928955
32,4.3235965,0.08403932,0.11639717578999026,0.407887613620544,877.8540546894073,480.8759822845459,234.3609173297882,142.14795207977295,14.543124198913574
33,4.311681,0.08628716,0.11668547957166109,0.4146799162478638,866.9340109825134,464.91471457481384,233.39585089683533,144.56717610359192,18.013481378555298
34,4.2403035,0.08971387,0.11795036627470484,0.4330520840985603,863.1404223442078,464.8955326080322,232.38287019729614,144.02027583122253,15.264645099639893
35,4.3092723,0.089803785,0.1173604140627175,0.48030080077176546,900.233335018158,476.583190202713,258.3726978302002,145.60602617263794,14.08542513847351
36,4.265342,0.08754595,0.11501064043112934,0.4218381381494263,897.1615703105927,464.2698872089386,256.0191602706909,145.27972149848938,25.111932277679443
37,4.362019,0.08044277,0.11640582740036391,0.44300715249135997,874.5768251419067,463.54953145980835,231.70401549339294,157.6011300086975,14.535504579544067
38,4.3908544,0.07955363,0.11253630434267668,0.43198862887615075,856.65247631073,461.88672828674316,231.67219948768616,142.6911199092865,14.005527019500732
39,4.3198895,0.085707724,0.11160699966532338,0.44364443825246136,881.9109532833099,474.98786091804504,234.9688196182251,141.16407132148743,24.55174946784973
40,4.275869,0.08914442,0.11805639054461098,0.44747274517711555,881.3366501331329,463.23680329322815,240.2319142818451,149.5811469554901,14.819973468780518
41,4.3397117,0.08189139,0.11022871868991624,0.3964470189088628,859.1769142150879,461.1550462245941,234.25332856178284,139.76976776123047,17.155047178268433
42,4.383701,0.08084239,0.11295344727408156,0.4046151848655138,867.4621012210846,464.0876326560974,235.22181630134583,139.4716010093689,22.715445280075073
43,4.20593,0.09730659,0.11814208404231472,0.44352127405528374,872.5362055301666,474.9350833892822,231.01356196403503,145.6604835987091,14.73532772064209
44,4.265413,0.0926111,0.12085615495297654,0.43144066801579906,876.5157389640808,465.52004528045654,235.33750247955322,142.91183042526245,14.317712783813477
45,4.3391056,0.0847986,0.1154942730779324,0.4178513688364679,858.3206572532654,465.79931116104126,231.0615701675415,140.5229606628418,14.479352474212646
46,4.230322,0.09350024,0.11599135973107293,0.446332668450958,868.9897210597992,463.134108543396,229.95366406440735,140.27126288414001,29.135401248931885
47,4.2511516,0.09184183,0.11735972979156523,0.4475150947925935,869.2877988815308,468.3438696861267,233.85726356506348,146.10595321655273,14.793033838272095
48,4.3269815,0.08637708,0.11475436067046779,0.4357368248369454,885.1470210552216,468.96388959884644,241.51865148544312,148.0406470298767,20.138237953186035
49,4.3902326,0.07946371,0.1117104584728633,0.4589068059160685,854.108952999115,461.52088260650635,228.73697423934937,134.75505781173706,22.539696216583252
