#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='faiss', data_dir='./data', dataset='CIFAR10', deep_cluster_and_contrastive_loss=False, ds_split='train', ds_train=True, epochs=25, grayscale=True, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/CIFAR10/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='sklearn', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,2.0016017,0.0,2.0016017,0.30196315,0.11235977564102564,0.09065749404645716,0.0,175.77167177200317,99.302725315094,67.96345472335815,0.5113630294799805,7.8423826694488525
1,1.5199316,0.0,1.5199316,0.44040465,0.11430288461538461,0.06194040170463567,0.17718069703930261,167.9022274017334,92.89422249794006,67.04376006126404,0.3081843852996826,7.519583225250244
2,1.1883743,0.0,1.1883743,0.5532652,0.14114583333333333,0.06136686114906634,0.3064540319176008,168.69178986549377,92.81788563728333,67.93326950073242,0.3126184940338135,7.482780456542969
3,1.1968375,0.0,1.1968375,0.5559495,0.12602163461538463,0.07316056386255163,0.4183408539195316,167.60061812400818,92.24098443984985,67.27232599258423,0.30849647521972656,7.635307550430298
4,1.2248924,0.0,1.2248924,0.5390425,0.12175480769230769,0.06790363793570416,0.46253970194696997,167.0181725025177,91.62859773635864,67.49245548248291,0.30988478660583496,7.442522764205933
5,1.0946656,0.0,1.0946656,0.58689904,0.12319711538461539,0.07084558579997294,0.4151451738868244,167.48821020126343,92.47209239006042,67.21231126785278,0.3138694763183594,7.3457465171813965
6,1.0862881,0.0,1.0862881,0.5921274,0.1271033653846154,0.08701793456095204,0.446818009045415,168.67771124839783,92.82376050949097,67.65007472038269,0.3073153495788574,7.752975940704346
7,1.2008255,0.0,1.2008255,0.54699516,0.11590544871794872,0.0820542566976284,0.36899659132189594,168.25329899787903,92.5986590385437,67.51454973220825,0.30814552307128906,7.683634519577026
8,1.11218,0.0,1.11218,0.5726763,0.12317708333333334,0.07749709185958902,0.3797628750989952,166.36609053611755,91.65178918838501,65.80058979988098,0.30582165718078613,7.842321157455444
9,1.0372609,0.0,1.0372609,0.6131811,0.12758413461538462,0.09054161047758578,0.3961100783147437,166.91312789916992,93.14695382118225,65.76661920547485,0.30703043937683105,7.546867370605469
10,1.2070407,0.0,1.2070407,0.53321314,0.12251602564102564,0.07535226829362923,0.3778760983118364,167.7861909866333,93.03548097610474,66.98395776748657,0.3132455348968506,7.309803485870361
11,1.1361827,0.0,1.1361827,0.5764623,0.11989182692307693,0.08420732219163186,0.32573876728629403,168.64616990089417,92.86412644386292,67.80023336410522,0.30487728118896484,7.533465385437012
12,1.0247251,0.0,1.0247251,0.6161058,0.12692307692307692,0.08619155122767648,0.41110178305564593,168.0799753665924,92.62629294395447,67.37965989112854,0.3064720630645752,7.623212575912476
13,1.0189241,0.0,1.0189241,0.60659057,0.1241786858974359,0.09998075308364626,0.47625565955020904,168.6544942855835,93.44155812263489,67.29667663574219,0.30752015113830566,7.464927434921265
14,1.037614,0.0,1.037614,0.6061298,0.12572115384615384,0.0897138606609024,0.4770471937485624,167.95433282852173,92.98637628555298,67.21454000473022,0.30552172660827637,7.30465292930603
15,0.93569994,0.0,0.93569994,0.6488582,0.1307091346153846,0.10589237372677077,0.4851411719444475,168.04234051704407,92.51995944976807,67.52293801307678,0.30939292907714844,7.546038627624512
16,1.0812433,0.0,1.0812433,0.5846755,0.13020833333333334,0.09896011209204342,0.4464051855035309,168.07299065589905,92.65570378303528,67.78134369850159,0.3033325672149658,7.189236164093018
17,1.0924331,0.0,1.0924331,0.5859575,0.1228565705128205,0.08790307760643314,0.37397666962529,168.38104820251465,92.7950656414032,67.43974781036377,0.314877986907959,7.688601493835449
18,1.0780458,0.0,1.0780458,0.596274,0.11684695512820513,0.09339120748595277,0.4169854801772908,167.97777485847473,92.39020609855652,67.45247435569763,0.3109266757965088,7.6797215938568115
19,0.9509918,0.0,0.9509918,0.6322917,0.14439102564102563,0.08967081670965474,0.42026575461822563,169.02186274528503,93.19345140457153,67.86584067344666,0.3102710247039795,7.5077338218688965
20,1.0959995,0.0,1.0959995,0.58579725,0.12299679487179487,0.0866228971246155,0.3712643209564352,167.95703792572021,92.71182584762573,67.36295557022095,0.3049602508544922,7.433588743209839
21,0.97633666,0.0,0.97633666,0.6327324,0.13353365384615384,0.09840665671610863,0.40171228604846476,168.54738664627075,93.22306084632874,67.42826914787292,0.30524563789367676,7.447575569152832
22,1.0498564,0.0,1.0498564,0.6040665,0.12123397435897436,0.09328892720403065,0.43709782836584155,168.55404567718506,93.29533863067627,67.53277969360352,0.3076784610748291,7.2744691371917725
23,0.9991641,0.0,0.9991641,0.6155849,0.13149038461538462,0.08804401221177739,0.4324465198957874,167.75458073616028,92.2408196926117,67.49873089790344,0.3070790767669678,7.564133644104004
24,1.0181494,0.0,1.0181494,0.60923475,0.12097355769230769,0.0947763132202654,0.46346105940306037,168.02101373672485,93.13812303543091,67.23563957214355,0.31235170364379883,7.192316293716431
