epoch,loss_avg,accuracy,nmi_true_pred,nmi_epochs
0,1.792733721847534,0.36774,0.0,0.08524591510378982
1,1.2788268534851075,0.52272,0.24799534869604284,0.07578811676908534
2,1.271220837211609,0.5303,0.39348341204426757,0.07166078017876218
3,1.219379824447632,0.54704,0.3958760308324143,0.07314898010968823
4,1.1234738025283812,0.57826,0.35092523880416904,0.07970200312324076
5,1.1440623343276977,0.57282,0.4308876744058472,0.0812119838427843
6,1.1627498404312133,0.56558,0.37875322785236387,0.06687802130524854
7,1.0674441243743897,0.59594,0.43129321018163913,0.07375002665265085
8,1.073031421775818,0.58904,0.4071725619315876,0.07450503324340736
9,1.0247956218338012,0.61088,0.40472086668680257,0.08157883485614208
