#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=None, clustering='faiss', data_dir='./data', dataset='CIFAR10', epochs=100, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='Adam', pca_method='faiss', pca_reduction=256, pca_whitening=False, seed=42, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,accuracy,nmi_true_ped,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.7151195,0.3893942,0.05823592408958516,0.0,727.1682834625244,219.64009070396423,68.94291996955872,0.9912292957305908,119.32931733131409
1,2.0198069,0.27503195,0.041077388186182666,0.04092081179107545,703.4843709468842,210.6603376865387,69.79194235801697,0.3891141414642334,118.7982907295227
2,1.7380688,0.37544757,0.07683377033595915,0.08360807757328399,1007.9160115718842,351.87123465538025,69.71726369857788,0.3898298740386963,141.7674949169159
3,1.7293851,0.35564256,0.08085837433212577,0.17094344247668694,911.6562077999115,266.1273367404938,85.25317645072937,0.4354367256164551,134.39119338989258
