#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=None, clustering='faiss_orig', data_dir='./data', dataset='CIFAR10', epochs=10, grayscale=True, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss_orig', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=42, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,accuracy,true_accuracy,nmi_true_ped,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.9190916,0.3064,0.0,0.07921074201490086,0.0,276.59324979782104,104.50679659843445,64.37973022460938,0,0.0
1,1.2529105,0.55202,0.0,0.07531024152140359,0.00043138414919571046,287.15738129615784,94.97820997238159,63.560184955596924,0,0.0
2,1.262681,0.5258,0.0,0.07258534237627466,0.00036794852270834074,275.7346622943878,93.91302704811096,63.979060649871826,0,0.0
3,1.2401338,0.54276,0.0,0.09761953959111364,0.0003380234552163285,264.57310724258423,94.43401622772217,63.43844199180603,0,0.0
4,1.192318,0.56308,0.0,0.10030660617825671,0.00032355368922810213,262.2282512187958,93.51762175559998,63.632503032684326,0,0.0
5,1.2203089,0.54668,0.0,0.08958518996302792,0.00043673918639218723,274.03225922584534,94.12944293022156,63.79386568069458,0,0.0
6,1.1001277,0.58322,0.0,0.09248525125536824,0.0004055595683340828,260.709233045578,94.04712724685669,63.79637598991394,0,0.0
7,1.2268407,0.54638,0.0,0.0866910269224387,0.0005027370400677633,275.48213839530945,94.30371761322021,63.58344340324402,0,0.0
8,1.0894902,0.5917,0.0,0.10331545700513454,0.00038147767685684045,253.8110647201538,93.88584566116333,63.62517476081848,0,0.0
9,1.0489978,0.6075,0.0,0.09764181567545689,0.00047506250490179686,266.6373860836029,93.88427662849426,63.34030103683472,0,0.0
