#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=None, clustering='sklearn', data_dir='./data', dataset='USPS', epochs=50, input_dim=1, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', pca=False, pca_method='sklearn', pca_reduction=256, pca_whitening=True, seed=42, sobel=False, verbose=False, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,accuracy,nmi_true_ped,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.7927599,0.34572348,0.4003309970708586,0.0,45.8452308177948,24.551073789596558,6.558866500854492,14.690526723861694,0
1,1.4533387,0.45895287,0.232005397186587,0.5022516383046357,48.86611223220825,14.08387041091919,5.754935264587402,14.107871055603027,0
2,1.5635461,0.38378197,0.12152245299234693,0.5533255527267077,48.09994411468506,14.75299072265625,5.066904544830322,12.46535873413086,0
3,1.5307239,0.3622299,0.06121764435748875,0.6361846370002693,37.94597387313843,14.127712726593018,5.7513415813446045,11.996200323104858,0
4,1.4872124,0.38855684,0.04443942804100585,0.6548271837329055,38.533650159835815,14.156474828720093,5.7884557247161865,12.759929895401001,0
5,1.4411949,0.41410598,0.045221500747831204,0.6092385739838712,36.71496033668518,12.86723780632019,5.068673372268677,12.29068660736084,0
6,1.5542765,0.38934243,0.1139767421018056,0.3930750588691043,40.4423291683197,14.33304500579834,5.783923149108887,14.803795337677002,0
7,1.4886953,0.41722494,0.20587766819457498,0.5182505448492998,38.389445543289185,14.147093296051025,5.1055357456207275,12.561452865600586,0
8,1.527922,0.37977377,0.08403006922570362,0.32774808573046726,39.628286361694336,14.175534009933472,5.76553750038147,13.771297693252563,0
9,1.421771,0.4089422,0.05613082669025584,0.5494568498969252,44.52334523200989,14.188567876815796,5.788288354873657,17.70280933380127,0
10,1.4468013,0.44027355,0.09748848226289875,0.5449534504553057,35.82183766365051,12.967230081558228,5.064433574676514,12.074906826019287,0
11,1.5016097,0.41137588,0.20535320287670794,0.4447308845441324,39.40277814865112,14.062156915664673,5.154035806655884,14.151757717132568,0
12,1.4063807,0.46479082,0.22573221235525046,0.6741891787802635,39.98730278015137,13.602271795272827,5.6995530128479,14.960798263549805,0
13,1.4253101,0.45277956,0.1239012371100338,0.47593045878551316,44.843597173690796,13.489028692245483,5.778792142868042,13.50260615348816,0
14,1.3947979,0.46320736,0.08883464944182136,0.5833794775600353,40.29097533226013,14.250305414199829,5.035633087158203,13.975183486938477,0
