#Namespace(arch='AlexNet', batch_size=256, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=None, clustering='sklearn', data_dir='./data', dataset='MNIST', epochs=15, grayscale=False, input_dim=1, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='sklearn', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=False, requires_grad=False, seed=42, sobel=False, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,accuracy,nmi_true_ped,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.1333188,0.5920656,0.5830781881578876,0.0,175.75476717948914,110.04664158821106,46.302942514419556,10.247302770614624,9.049930572509766
1,0.7123404,0.73670214,0.5166516277703598,0.5973609295630791,181.8635015487671,104.05411767959595,47.66349816322327,7.81194543838501,9.24385666847229
2,0.72372913,0.7377992,0.5479575739698203,0.7167699247128505,188.37564277648926,104.3772234916687,46.73395109176636,9.037579536437988,8.665300369262695
3,0.68136334,0.75142395,0.5716825653604086,0.7708053364397045,187.98525190353394,109.35667848587036,46.88429546356201,7.7223334312438965,9.55798602104187
4,0.66436344,0.7568983,0.5411599434574522,0.6910547035481212,183.53711652755737,107.94023895263672,47.06181716918945,7.2857513427734375,8.728371620178223
5,0.627722,0.7682956,0.5915039263903085,0.6873980047262379,181.85819220542908,104.90509533882141,46.30643367767334,6.269331693649292,9.601348161697388
6,0.6288717,0.768545,0.6009963076689635,0.7895367896894532,177.2009105682373,104.08575677871704,43.126763582229614,7.3705103397369385,8.863915205001831
7,0.70693165,0.7319205,0.4993783405468662,0.6366409105032476,182.2617700099945,106.58927726745605,46.29950213432312,7.966675519943237,8.757585048675537
8,0.64230907,0.7681626,0.43343636974334016,0.553135632733989,175.052307844162,106.12903904914856,46.370771408081055,7.681558609008789,8.8673837184906
9,0.7169387,0.7239306,0.45946191721606017,0.4859028329209145,176.99245834350586,106.91546940803528,47.11063075065613,8.110340356826782,8.632775783538818
10,0.54969525,0.8087211,0.4355994467655084,0.5365214789333043,178.50988483428955,107.49160385131836,46.38502621650696,9.43847370147705,8.928552865982056
11,0.58131063,0.7835162,0.5428130642656087,0.5816608420123881,189.45201635360718,109.0134265422821,46.30920934677124,7.711071252822876,9.238284826278687
12,0.56766456,0.7927028,0.503802996421809,0.6333253706708379,172.5945303440094,103.95108342170715,46.34378528594971,8.200993299484253,8.810867547988892
13,0.5877198,0.78132755,0.5709968629912884,0.5992492275846941,172.69599795341492,105.19473147392273,46.28067088127136,7.263314247131348,8.413342952728271
14,0.6677906,0.74025375,0.49934124215436787,0.585746400405507,180.69905018806458,107.93333506584167,45.99266004562378,10.41180157661438,9.4989173412323
