epoch,loss_avg,accuracy,nmi_true_pred,nmi_epochs
0,1.500426590792338,0.4522,0.0,0.6529028199781723
1,0.9401827259063721,0.6645833,0.5093290639795831,0.5472354996071543
2,0.9461292354901631,0.64526665,0.5359570943923133,0.49857347928812257
3,0.8404503476460775,0.68185,0.5799544654759526,0.5065603938839528
4,0.7641853784879049,0.70355,0.4864759433431682,0.5101625642243552
5,0.7004614931424459,0.72566664,0.5721852635263898,0.5077438088719269
6,0.7601576479276021,0.7196,0.48693068311594173,0.4804276945822198
7,0.9344586508115132,0.6322333,0.4664870210720479,0.4621672497318784
8,0.7375310348192851,0.72568333,0.5047822840130427,0.4842953649565122
9,0.696855389881134,0.73508334,0.5255787275929347,0.475509846887926
