#Namespace(arch='VGG16', batch_size=32, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=None, clustering='faiss', data_dir='./data', dataset='MNIST', epochs=100, input_dim=1, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='Adam', optimizer_tl='Adam', pca_method='faiss', pca_reduction=256, pca_whitening=False, seed=42, sobel=False, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,accuracy,nmi_true_ped,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,104.813385,0.1641,0.49872121673981995,0.0,1312.2184278964996,815.2167687416077,337.9321057796478,0.5857937335968018,127.00352692604065
1,1.797925,0.34596667,0.1266134654785702,0.15244388396158498,1369.8763375282288,810.8089349269867,335.11115860939026,0.3524179458618164,127.9567015171051
2,1.7210853,0.34391665,0.1079802692741814,0.6515243715954265,1358.3034121990204,807.4668860435486,334.85578632354736,0.876291036605835,123.87249755859375
3,1.6336817,0.37153333,0.09663416798272993,0.5994780663513141,1327.6465213298798,808.4177620410919,335.403439283371,0.354738712310791,122.31340551376343
4,1.6446613,0.3918,0.14250328625046416,0.5230302138254599,1353.7432463169098,808.3383350372314,335.33618450164795,0.3647267818450928,117.80820894241333
5,2.1437736,0.21235,0.16196011672373842,0.35605636997112033,1350.8721735477448,805.8551862239838,335.082533121109,0.35103607177734375,120.80786681175232
6,2.2338657,0.26713333,0.16290318561997758,0.16828645960054178,1305.933921098709,807.7616353034973,336.06416726112366,0.35800623893737793,101.67757272720337
7,1.9869503,0.26263332,0.13086134412302042,0.2093697521867092,1266.1138565540314,805.2709228992462,334.9824104309082,0.36290931701660156,65.65934944152832
8,1.6463033,0.49536666,0.10210411215624622,0.052629198743578444,1294.8396482467651,806.6949687004089,334.7749750614166,0.36576128005981445,93.19475674629211
9,0.009643628,0.99795,0.0,0.0,1316.886424779892,808.2922737598419,333.22205567359924,0.37316179275512695,81.258868932724
10,2.4233222,0.22966667,0.17346052327929556,0.0,1343.6982049942017,803.3082885742188,332.0975270271301,0.3680696487426758,109.05148649215698
11,1.9570748,0.28415,0.11109497833155894,0.12894623617931042,1264.775357246399,801.0785541534424,331.5136549472809,0.35958075523376465,75.27847266197205
12,2.3219955,0.10826667,0.11545888055989223,0.3550095814242923,1274.2353162765503,802.1919527053833,330.50336742401123,0.357072114944458,82.45901918411255
13,2.0737908,0.22495,0.10922099744376314,0.15643454516917543,1290.468297958374,803.0235431194305,331.2142074108124,0.3527495861053467,98.61318230628967
14,0.009670481,0.9988833,0.0,0.0,1291.1533560752869,800.1980886459351,330.7072422504425,0.37373971939086914,103.00320959091187
15,5.150308,0.4282,0.1413605147346165,0.0,1299.8425407409668,799.7759010791779,329.95290303230286,0.36214423179626465,79.42773103713989
16,1.8195804,0.37453333,0.1175589464056018,0.15111394433590936,1303.7351894378662,802.1675744056702,329.5004394054413,0.3733198642730713,112.3051450252533
17,2.0194063,0.27695,0.12697901423000763,0.36426310418952673,1299.5712506771088,805.2673668861389,329.9968523979187,0.3491332530975342,106.46781063079834
