epoch,loss_avg,accuracy,nmi_true_pred,nmi_epochs
0,1.8301630843734742,0.34996,0.0,0.08584115680337874
1,1.3525294484710693,0.5042,0.2693542911094063,0.10616554917311437
2,1.2504308018493653,0.52946,0.3762405749385108,0.10263967043087362
3,1.241397444229126,0.53188,0.39176929599639987,0.10095540343681303
4,1.097248180923462,0.58856,0.3781071213018155,0.09783802650120378
5,1.1272056629180909,0.58446,0.3875171995459653,0.09363084118840934
6,1.0359031616020202,0.61526,0.4590931225972382,0.09327530136596898
7,1.0353747174072265,0.62054,0.5143699860319954,0.10248514749407263
8,1.0079135061645508,0.6277,0.4424867414976189,0.09775893507921449
9,1.0022831707000732,0.62812,0.4669381590847995,0.10306916762957642
10,1.0091935369491578,0.61974,0.49353266302212256,0.09546450820186515
11,1.068123953704834,0.59166,0.3870641231132638,0.10475051096170929
12,1.1084290460968018,0.58286,0.4134390440436593,0.10046398740361018
13,1.0298427255630493,0.61396,0.40932446932275646,0.10788391610535882
14,1.0477674867248534,0.61006,0.3450867139431712,0.10708150103412829
15,1.0013116387176513,0.62618,0.3964833353357368,0.09716014796507176
16,1.0516647399902344,0.60544,0.42536266393941974,0.08974191581464863
17,1.03894534740448,0.60602,0.4465084526378712,0.09554139900344588
18,1.0831706582260132,0.59676,0.4145052580225639,0.09927697480063251
19,1.024243465309143,0.61142,0.33442336696075836,0.09619267758479826
20,1.0251254766845703,0.61424,0.4209502032882357,0.09200980644043293
21,0.9879795822143554,0.62908,0.4340742526095074,0.09447931366328235
22,0.9238820921325683,0.65438,0.6456873391748434,0.10122340777832123
23,1.0532799576187133,0.60906,0.4571024994017917,0.08484194552983018
24,0.998903848438263,0.62994,0.34566272906355416,0.0790905964459234
25,0.9854586540603638,0.62268,0.38031823743876025,0.10049143181731132
26,0.9983688627624512,0.62452,0.4045734650434947,0.08566722447862107
27,1.0379106239128113,0.60424,0.4032911686540933,0.11137081379752577
