#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=None, clustering='sklearn', data_dir='./data', dataset='MNIST', epochs=100, grayscale=False, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='sklearn', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=42, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,accuracy,true_accuracy,nmi_true_ped,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.4399285,0.45868334,0.07603333,0.6477124318899138,0.0,212.55461835861206,125.35646080970764,46.86874270439148,10.111865758895874,30.09564733505249
1,1.2791438,0.5586333,0.13391666,0.4108946420109953,0.3965736627771415,208.62669014930725,112.63742685317993,45.02798581123352,8.973158121109009,20.51353120803833
2,0.8237533,0.7025667,0.090566665,0.4384921166283721,0.40702234332591164,201.28064846992493,113.56407594680786,45.0148491859436,11.036105632781982,20.777384996414185
3,0.7040142,0.74165,0.09615,0.5248332157109882,0.6125439603992187,202.95840287208557,112.80784201622009,45.316941022872925,8.599357604980469,20.9318265914917
4,0.7460858,0.72041667,0.14916667,0.49734136836344417,0.6153933180516055,201.7855339050293,112.29130983352661,44.9896183013916,8.029821872711182,20.140281200408936
5,0.72480536,0.73035,0.10735,0.5174973957777544,0.5999272992467284,193.00445342063904,114.04470872879028,45.23342704772949,7.333688259124756,20.466703176498413
6,0.6335016,0.7752,0.147,0.5007364368066455,0.6490194635313618,192.43454432487488,112.33962798118591,45.13264989852905,8.978646755218506,20.782702684402466
7,0.6647128,0.75331664,0.12296667,0.5278492189016474,0.6808193996763632,199.60461592674255,112.55366563796997,44.84273600578308,8.731596231460571,20.214391469955444
8,0.71539605,0.7331833,0.10058333,0.4725875086869171,0.6101825997835484,199.00986433029175,113.21299839019775,45.004658222198486,8.837187051773071,22.85090661048889
9,0.62268996,0.77251667,0.0485,0.5546223694719014,0.6369621089233645,191.6537709236145,113.18983387947083,45.07024598121643,8.353861331939697,19.610305547714233
10,0.6993317,0.7377167,0.12921667,0.41286301254544766,0.4894103867640978,195.2548429965973,112.79027485847473,45.00605869293213,10.686249017715454,21.009900331497192
11,0.6056433,0.77571666,0.068383336,0.4381940072557049,0.6030719581965271,197.6162838935852,116.4558961391449,45.129356384277344,8.799182653427124,21.022924661636353
12,0.6891161,0.7471167,0.0907,0.4091110689651861,0.5028818254011493,208.37413811683655,118.74844813346863,45.23587083816528,8.984294891357422,20.923047304153442
13,0.7714227,0.70645,0.10123333,0.38760617601607517,0.4128787287557915,203.26320934295654,117.92906951904297,45.497010946273804,10.964411735534668,23.64742159843445
14,0.5963816,0.7949167,0.087866664,0.25200814510238895,0.27435737932466253,203.80362248420715,121.29353952407837,44.709301233291626,9.218001127243042,22.468972206115723
15,0.698526,0.7334833,0.09481667,0.3950270109720595,0.4086092967958274,208.8490104675293,112.78623723983765,44.861347675323486,9.833359718322754,21.640782356262207
16,0.60797054,0.77145,0.082333334,0.4404770946310753,0.47848395188559356,192.09818029403687,112.45701622962952,45.0953094959259,9.056196689605713,19.918816089630127
17,0.67053765,0.74705,0.10061666,0.3738791543119257,0.4587138050658823,194.89421439170837,112.2455096244812,45.66197347640991,9.636502504348755,19.849756240844727
18,0.62312186,0.76528335,0.04715,0.3810263973492612,0.466687033001398,192.87847661972046,112.74629259109497,45.15910291671753,7.492986440658569,20.94756531715393
19,0.5999739,0.77925,0.12111667,0.4424873536623899,0.4276366538092949,193.84612894058228,112.56243228912354,45.323946714401245,7.972154855728149,22.83292269706726
20,0.5757984,0.78755,0.12168334,0.4241541822743278,0.5369678205781573,195.1548309326172,112.58339333534241,45.752880334854126,9.236260890960693,22.056736946105957
21,0.5486017,0.80076665,0.13353333,0.4493477477774814,0.5603659092851624,192.6685175895691,112.87928509712219,44.854297399520874,9.1176917552948,20.30237364768982
22,0.69772536,0.74111664,0.120916665,0.35516778261129334,0.48175779184940387,202.55110883712769,112.92994379997253,44.81144738197327,8.987767219543457,20.28096318244934
23,0.7143866,0.72061664,0.11631667,0.46024145416426304,0.41856943534456575,192.73611736297607,112.60909628868103,45.21952676773071,8.238070964813232,20.36077332496643
24,0.6648467,0.74686664,0.1072,0.46955288320206945,0.41152537270270956,199.06129026412964,112.66771936416626,45.136250257492065,14.879853963851929,20.307090759277344
25,0.5935299,0.7792,0.14223333,0.46859856549977663,0.4696355788815207,194.76292324066162,113.35995483398438,44.98053169250488,9.46799898147583,21.45015859603882
26,0.53173417,0.8017667,0.15821667,0.44178046636693685,0.5224403647327128,193.07772874832153,112.22356510162354,44.9131019115448,10.1640784740448,20.457860231399536
27,0.67593247,0.7410833,0.07725,0.4098501263836572,0.4499255121426322,201.22622680664062,112.79037284851074,44.84464979171753,10.318153619766235,19.631983518600464
28,0.5460642,0.8043,0.13995,0.376115625626552,0.4488211583803959,192.82471442222595,112.9075620174408,45.18081188201904,7.879022598266602,20.949273824691772
29,0.60415775,0.7754667,0.13055,0.3886608554781032,0.4560116989501433,199.9557957649231,111.93967461585999,44.95368432998657,9.726648569107056,19.737470149993896
30,0.5812742,0.7876667,0.13546667,0.44908867429091587,0.5868062186252534,194.43891644477844,112.79441475868225,45.213409662246704,9.95836329460144,20.71114683151245
31,0.65254474,0.7553167,0.094966665,0.3484654645668375,0.44187223884994065,194.56308150291443,113.13793087005615,44.62712812423706,10.173694849014282,20.24839735031128
32,0.5453533,0.79941666,0.12255,0.3906239959518673,0.4358031208000903,199.50686049461365,113.97590446472168,45.096264600753784,13.299343824386597,22.00660252571106
33,0.65627706,0.7560833,0.0979,0.3547917899900706,0.4976695953982791,196.20836091041565,114.72523593902588,45.52886605262756,8.53583812713623,21.903300046920776
34,0.6111374,0.76625,0.08615,0.4128325805325151,0.4350700436695505,198.78771948814392,113.56305265426636,46.3816123008728,12.75940227508545,20.602017879486084
35,0.6311807,0.7604833,0.096433334,0.45062957591724917,0.5693958729370288,230.0635118484497,145.1436460018158,44.889350175857544,10.926636934280396,23.280845642089844
36,0.5619616,0.79401666,0.10166667,0.41238903516628794,0.4525039673448992,198.87767457962036,114.04972386360168,45.339155435562134,8.950471639633179,22.2800235748291
37,0.63188744,0.76248336,0.047166668,0.5006855759661357,0.4782665690426576,192.80274534225464,113.08920383453369,45.131404638290405,8.453540563583374,20.76236391067505
38,0.6068421,0.7729667,0.12053333,0.47592705118392026,0.5299063366276566,193.0481562614441,112.68731594085693,44.96087622642517,8.714340209960938,21.564050436019897
39,0.53562367,0.8018,0.07555,0.538811731150337,0.5834932657606982,206.75234603881836,112.5459132194519,46.2557168006897,15.856984615325928,24.356932401657104
40,0.5742161,0.7829,0.08788333,0.37865953575774564,0.4468234821712909,194.3414809703827,112.47372221946716,45.05636501312256,10.48671269416809,20.880221128463745
41,0.5240408,0.8049,0.11686666,0.534689008623512,0.4178113637935115,191.77114248275757,113.18349289894104,44.74480867385864,7.989432096481323,20.3696928024292
42,0.50470304,0.8144,0.1504,0.4205017384176001,0.4716417763292982,206.69196844100952,112.4596164226532,44.88863658905029,10.418805599212646,20.16575050354004
43,0.60386306,0.77416664,0.13268334,0.3919623466800345,0.43891820122432007,216.19819688796997,112.18225622177124,45.26661419868469,14.027925491333008,30.435842275619507
44,0.5036162,0.81055,0.062133335,0.4260824479680192,0.4713719383906028,191.34699153900146,113.25093722343445,44.993422985076904,7.684304237365723,20.136242628097534
45,0.59547627,0.76641667,0.04515,0.5113241520659886,0.5004288321488981,194.74401879310608,112.44361090660095,45.195008993148804,9.358940124511719,21.180946588516235
46,0.58593774,0.77973336,0.07976667,0.49723770021027114,0.581916001691775,195.07811427116394,114.91446208953857,44.78492879867554,8.721765041351318,21.013701915740967
47,0.49582055,0.817,0.13835,0.4937349261124518,0.5233382909265376,204.53602933883667,115.8447949886322,44.7541024684906,13.556777954101562,24.773476362228394
48,0.52073133,0.80621666,0.118666664,0.38223243570138954,0.546349263147591,211.95999765396118,116.5596673488617,46.90958094596863,11.394390344619751,22.274399280548096
49,0.57966167,0.78618336,0.0714,0.38247009861340725,0.5375651970891432,193.08439326286316,112.4422676563263,44.71119737625122,10.085870742797852,20.451159715652466
50,0.52932626,0.80335,0.118033335,0.43335365399267195,0.5683554076457824,194.38031196594238,112.36937856674194,46.14873647689819,9.347021102905273,20.62173819541931
51,0.5304428,0.8053,0.043233335,0.42257536380738153,0.6230025457898001,197.55566501617432,114.06503295898438,45.61890006065369,9.70218300819397,22.246983528137207
52,0.6545803,0.74705,0.06655,0.4038466449491874,0.5035370785641937,196.1915385723114,112.4238109588623,44.9525363445282,10.134586811065674,22.740643978118896
53,0.577852,0.7887667,0.13663334,0.4101346224545742,0.5145145408788596,198.9667944908142,112.39503741264343,45.24384522438049,9.187528848648071,19.77215075492859
