#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='faiss', data_dir='./data', dataset='CIFAR10', ds_split='train', ds_train=True, epochs=100, grayscale=True, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/CIFAR10/100_runs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,2.0202231,0.27146,0.0952,0.08521442764145397,0.0,277.17441487312317,102.28631711006165,67.27189803123474,0.5231027603149414,106.92077231407166
1,1.4011741,0.46896,0.07912,0.06566289810516412,0.19100800760267078,269.4641926288605,91.38940167427063,64.47988080978394,0.3212146759033203,113.17500400543213
2,1.2027717,0.55028,0.12744,0.08557099284024891,0.3815012286127859,264.92999720573425,91.52356219291687,64.52822589874268,0.3251841068267822,108.44446611404419
3,1.1810298,0.55938,0.08676,0.08347797277256933,0.42301737703411946,262.063440322876,91.36868190765381,65.67850065231323,0.3215022087097168,104.58562707901001
4,1.1623893,0.56078,0.11332,0.08331894476988823,0.431239558467435,260.51420044898987,91.66232228279114,65.87073564529419,0.3176133632659912,102.55487418174744
5,1.1649673,0.55904,0.09718,0.09440822303762994,0.427236888005862,259.06758666038513,91.42839288711548,65.60981631278992,0.3203582763671875,101.60086965560913
6,1.2147205,0.54196,0.11402,0.08936527622804752,0.3815844884606271,259.22087240219116,91.40896725654602,65.43610286712646,0.3290715217590332,101.9346489906311
7,1.1820261,0.55466,0.1001,0.08730117458980548,0.3668444615400631,256.7755708694458,90.4587185382843,65.95300269126892,0.3215336799621582,99.9332811832428
8,1.1578786,0.56386,0.10086,0.10333255341573182,0.44993977472068936,259.0327444076538,92.07653331756592,64.4420599937439,0.3201627731323242,102.08572340011597
9,1.1553912,0.56156,0.09264,0.09349258021668032,0.4085258540567004,253.27600383758545,91.71585178375244,65.52694892883301,0.3225889205932617,95.60132002830505
10,1.1550894,0.56972,0.10002,0.09612392166263281,0.40359091688102794,252.48445749282837,91.62752842903137,65.82865023612976,0.3211495876312256,94.59874868392944
11,1.1073202,0.57938,0.11578,0.08927888982193485,0.40212188251877556,252.09746623039246,91.64632630348206,65.85783624649048,0.3268318176269531,94.15882444381714
12,1.0885522,0.59456,0.09902,0.08444424655784043,0.40628192993841,252.3991665840149,91.7086615562439,65.83324551582336,0.32361364364624023,94.42542672157288
13,1.1772861,0.55446,0.09792,0.09272228209886513,0.35097740599972316,249.4652714729309,91.75676131248474,65.24395298957825,0.3214144706726074,92.03528118133545
14,1.1261663,0.56738,0.10052,0.0943151441941651,0.36863806628888757,250.79851245880127,91.64642262458801,66.08130216598511,0.3217592239379883,92.64145827293396
15,1.0980163,0.5851,0.08988,0.08599518241972924,0.41029339852811714,250.40566897392273,91.91095972061157,65.72064232826233,0.3201594352722168,92.34526801109314
16,1.1370533,0.56572,0.10068,0.08225008202400522,0.390951717736183,249.37340641021729,92.0426037311554,65.73707580566406,0.32126545906066895,91.1640682220459
17,1.08712,0.59054,0.10014,0.08439981006148693,0.3667510101030294,249.41340017318726,91.85954451560974,66.03641438484192,0.3187558650970459,91.08942031860352
18,1.1105793,0.58022,0.09462,0.08908908911337132,0.39736756661312916,247.55654215812683,91.57005906105042,65.78059196472168,0.31748032569885254,89.77991938591003
19,1.0778168,0.60148,0.1041,0.09578388347285993,0.35634395602461055,247.8609049320221,91.49968004226685,65.89863109588623,0.32379841804504395,90.03145480155945
20,1.0651605,0.59476,0.11578,0.08872801398953628,0.40486116263369876,246.5474190711975,91.44609260559082,65.13283038139343,0.32857584953308105,89.5313310623169
21,0.95691466,0.63184,0.09102,0.09217620446986127,0.3811055492057809,245.4440722465515,91.73893284797668,65.92265057563782,0.3276784420013428,87.34169268608093
22,1.0866144,0.58126,0.09636,0.09022858502962235,0.3600572220062603,245.71769738197327,91.49761152267456,66.0467300415039,0.31896448135375977,87.74734377861023
23,1.0775673,0.58796,0.0982,0.09641686221902158,0.3529801213327371,243.09557819366455,90.32333827018738,65.05312371253967,0.31867480278015137,87.29309129714966
24,1.0061345,0.61552,0.09076,0.0838338970151493,0.3506246839437904,250.02775597572327,92.0880753993988,64.90282583236694,0.32758212089538574,92.601979970932
25,0.9884059,0.62362,0.09256,0.09280130010559108,0.3489578014947537,246.9098665714264,91.60000514984131,65.70508742332458,0.33007287979125977,89.166907787323
26,0.99131435,0.62396,0.0881,0.08899023872386946,0.3879573914808767,245.88556504249573,91.67059803009033,66.00065732002258,0.32386183738708496,87.78319787979126
27,1.0279927,0.60174,0.0975,0.09672429872479839,0.4164154119164834,245.91214847564697,91.98744630813599,65.98496532440186,0.326613187789917,87.50592041015625
28,1.0142959,0.61216,0.09008,0.09863927135135368,0.3420895594982282,245.21730732917786,91.6790783405304,66.21349453926086,0.32716965675354004,86.8897795677185
