#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='faiss', data_dir='./data', dataset='CIFAR10', ds_split='train', ds_train=True, epochs=100, grayscale=True, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/CIFAR10/100_runs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,2.1199074,0.25314,0.10878,0.08281487583680962,0.0,278.4337682723999,102.41138172149658,66.55342197418213,0.5255377292633057,108.76811408996582
1,1.3125781,0.52104,0.09156,0.053520088460375065,0.14639765444318656,276.0338430404663,91.99191355705261,66.60931897163391,0.33533644676208496,116.99340105056763
2,1.3761711,0.48062,0.105,0.05395967554205183,0.34358684557616165,271.9807903766632,92.23392176628113,66.1149206161499,0.32352232933044434,113.1932201385498
3,1.3523084,0.48394,0.10602,0.05690569530339005,0.36026423460092943,271.14087557792664,92.64032173156738,66.90959215164185,0.32219886779785156,111.15802526473999
4,1.197786,0.559,0.0976,0.05294127989510916,0.37283297326652665,268.5565104484558,92.13293194770813,66.54450058937073,0.3241732120513916,109.44398093223572
5,1.1670504,0.56586,0.11858,0.06399047940017696,0.41567532156530446,265.42939281463623,91.70827627182007,65.7712414264679,0.3233983516693115,107.5157961845398
6,1.1531671,0.55544,0.1154,0.07397110411819993,0.37955471347770686,263.1977217197418,91.89955639839172,66.63958525657654,0.33017563819885254,104.21901035308838
7,1.1741124,0.54522,0.10396,0.06874063221720013,0.3962194066180795,261.99165296554565,91.91013836860657,66.19942951202393,0.322786808013916,103.45019340515137
8,1.1368026,0.57272,0.12734,0.06606239725399109,0.4162329677716664,261.140625,91.9291000366211,66.22874975204468,0.32774853706359863,102.5460479259491
9,1.1865989,0.55478,0.10016,0.07891482972607973,0.4270643630670556,260.5847063064575,91.99671936035156,66.4653992652893,0.3205082416534424,101.69368004798889
10,1.085429,0.58838,0.08808,0.07705869268092828,0.4712846502603219,261.6735167503357,92.0691831111908,66.20522999763489,0.31838154792785645,102.97089171409607
11,1.0553921,0.60788,0.11696,0.07302769947348807,0.46381103924474276,257.9656002521515,92.02088379859924,66.28021287918091,0.32235002517700195,99.23177671432495
12,1.1106342,0.56626,0.09248,0.07531702348906526,0.3918364999600126,258.714555978775,92.0979266166687,66.4508912563324,0.3282589912414551,99.72940444946289
13,0.9860882,0.62726,0.09006,0.08516560796548635,0.4521750843331861,258.4219334125519,92.05829548835754,66.5038001537323,0.3266732692718506,99.42444324493408
14,0.9921827,0.62416,0.10036,0.07106870181045741,0.46927692090466694,256.7831904888153,92.06421422958374,65.95159721374512,0.32178640365600586,98.33857822418213
15,1.0602553,0.58684,0.13222,0.07833956121802339,0.4366290750733103,257.65526056289673,92.00188326835632,66.86274743080139,0.33040618896484375,98.35261702537537
16,0.95326954,0.63828,0.1294,0.08262547803096415,0.45934188046302216,256.23109102249146,92.32875490188599,66.18826913833618,0.3257746696472168,97.2806077003479
17,1.0229931,0.61178,0.11968,0.09777052721563557,0.43738140988877333,254.24294209480286,92.34458589553833,66.70065999031067,0.32247447967529297,94.76627087593079
18,1.025294,0.61696,0.09898,0.09230218769623623,0.4930666222148883,252.28512024879456,92.4178397655487,66.92775559425354,0.3180534839630127,92.51268577575684
19,1.0892556,0.57464,0.11056,0.07671810285639045,0.42201859768258376,252.8071002960205,92.27391934394836,66.95910120010376,0.32087135314941406,93.14548325538635
20,0.9700397,0.63092,0.0844,0.08993883769699887,0.40309546095702686,251.99819326400757,92.33138632774353,67.18058633804321,0.3201284408569336,92.05844473838806
21,0.96510726,0.62622,0.1191,0.08856549535816158,0.5169515088656673,251.30249428749084,91.99324440956116,66.52716112136841,0.3220176696777344,92.3523223400116
22,0.9716398,0.6335,0.09472,0.08780419188985475,0.4532306013502893,249.96213817596436,91.75898838043213,67.06757855415344,0.3206930160522461,90.60412955284119
23,0.87489754,0.66922,0.08694,0.09855514268149958,0.5280559213233865,251.4707055091858,92.72146224975586,66.50779008865356,0.3276710510253906,91.80668067932129
24,1.0243872,0.60468,0.1001,0.08912712635403088,0.46936864474567846,250.5156614780426,92.05768299102783,67.06193423271179,0.32529282569885254,90.96284699440002
25,0.9718837,0.63156,0.12494,0.08546151602158061,0.4097678381481708,250.85972356796265,92.18621444702148,67.06084418296814,0.32985568046569824,91.17523241043091
26,1.0215185,0.60642,0.0928,0.09090375987864148,0.4222081338790821,248.67535996437073,91.9906439781189,66.560861825943,0.3205587863922119,89.69675803184509
27,1.061301,0.5882,0.10728,0.08470622247149365,0.43868504731675434,248.14640188217163,92.44081616401672,66.60533094406128,0.3218812942504883,88.67023491859436
28,0.97063476,0.6215,0.09404,0.09895037074690033,0.4456156425160535,248.980731010437,92.56100273132324,66.96596455574036,0.32480406761169434,89.02104449272156
29,1.0370044,0.59464,0.09612,0.08116680095968072,0.4373827194009063,247.5657296180725,92.07246470451355,66.72237706184387,0.32317090034484863,88.34064984321594
30,1.0568339,0.58706,0.09718,0.09208364558625298,0.42963046295961316,247.8267548084259,92.33476185798645,66.3470995426178,0.3234884738922119,88.7140281200409
31,1.032828,0.6014,0.09498,0.10033215310561144,0.4156971418109803,248.04111051559448,92.08743953704834,66.85968565940857,0.3269507884979248,88.66077947616577
32,0.9648022,0.62964,0.09898,0.09449674434563426,0.4470761228974229,247.34239792823792,91.86669039726257,66.9067952632904,0.31894421577453613,88.14337229728699
33,0.9862668,0.62556,0.09694,0.09901642603578806,0.39573688428099674,246.31409788131714,92.03244304656982,66.79875540733337,0.31941771507263184,87.05669665336609
34,0.91913795,0.64278,0.1156,0.10498990760822353,0.46135065127924885,246.5301239490509,92.13951468467712,67.0466513633728,0.32061266899108887,86.91607403755188
35,0.9847398,0.61848,0.0876,0.10154272880744111,0.4281911532382304,248.1669225692749,92.56525087356567,66.39742708206177,0.32001304626464844,88.77751970291138
36,0.9594959,0.62276,0.10366,0.11346020198517533,0.4804581369962021,247.31039690971375,92.55612063407898,66.56697344779968,0.31493711471557617,87.76518940925598
37,1.0311744,0.6025,0.09804,0.09839378679906435,0.41508445762775303,246.17357683181763,92.38401055335999,67.19555616378784,0.3276255130767822,86.15742874145508
38,0.89560306,0.6513,0.10086,0.1093792792274295,0.4306180289899654,245.04929661750793,92.13413882255554,65.98545575141907,0.31735730171203613,86.50600576400757
39,0.9904324,0.61728,0.10296,0.11294048450440224,0.48570216268386723,245.6406364440918,92.43208312988281,66.32973146438599,0.31670141220092773,86.45549511909485
40,0.95134646,0.63174,0.1037,0.09621947974849399,0.43552846756196295,246.1391532421112,92.39470267295837,66.37521004676819,0.32456278800964355,86.93831324577332
41,0.9516748,0.633,0.09486,0.09891604104076782,0.4845069303714732,246.8267035484314,92.38334918022156,67.30302691459656,0.32657313346862793,86.70643043518066
42,0.9477933,0.63208,0.11812,0.10242588325010384,0.43810502192477924,244.5375452041626,92.4132616519928,66.58564043045044,0.325730562210083,85.10533475875854
43,1.0768659,0.57576,0.10442,0.10298616669858617,0.44250247336980103,244.49874997138977,91.78411388397217,66.4764015674591,0.32932138442993164,85.8021969795227
44,0.9964338,0.61372,0.1029,0.10343922414912851,0.4327039020579529,243.1951198577881,91.960134267807,66.92943835258484,0.32151317596435547,83.87764573097229
45,0.9811842,0.6163,0.10328,0.10387523941729274,0.41074469724823076,244.37637400627136,92.57172679901123,67.03359007835388,0.32218408584594727,84.34199571609497
46,0.95472,0.62638,0.09314,0.09642262818150245,0.4321633972983914,243.49915146827698,92.67475175857544,66.4175808429718,0.3211193084716797,83.97873616218567
47,0.9397051,0.63676,0.10312,0.11380719461747585,0.4405881807657938,244.62723016738892,92.227130651474,67.17241501808167,0.32618284225463867,84.79261040687561
48,0.9041055,0.64438,0.09636,0.10336208725983041,0.4941250750575394,243.2886402606964,92.14339208602905,66.26177310943604,0.32476210594177246,84.45242142677307
49,1.0052772,0.61206,0.09296,0.1049702583747446,0.43699411581199277,242.3341565132141,92.11804962158203,66.76388621330261,0.3193697929382324,83.0265154838562
50,0.9334225,0.6368,0.11814,0.10693136895826026,0.4293131831776735,244.3174238204956,92.52382755279541,66.55526685714722,0.3217289447784424,84.8107488155365
51,0.90266687,0.64558,0.09272,0.10149337710249451,0.44680293249832215,243.97976660728455,91.8913345336914,66.94591999053955,0.32447361946105957,84.71132969856262
52,0.95074624,0.63512,0.09348,0.09014781601733371,0.43707827570231494,244.31625890731812,92.14177560806274,66.65795469284058,0.32639050483703613,85.08370542526245
53,0.919285,0.64382,0.09168,0.10302246061261787,0.4049792034346671,243.38741993904114,91.97808456420898,66.54117202758789,0.3278074264526367,84.43504357337952
54,0.9862839,0.6183,0.11236,0.09551349462332144,0.3847075261704451,242.08923029899597,92.26856112480164,66.89349675178528,0.32047176361083984,82.50044274330139
55,0.949801,0.64278,0.09558,0.100404387481463,0.41802452519544275,242.852046251297,92.48330307006836,66.88673877716064,0.32311081886291504,83.05222749710083
56,0.9179544,0.64954,0.09728,0.09975318394933794,0.4410907638084027,242.40939712524414,92.19843292236328,66.43682813644409,0.32244253158569336,83.34536623954773
57,1.0820454,0.587,0.10122,0.09277963488496734,0.3878316688671777,242.79525184631348,92.64540696144104,66.6774787902832,0.3188514709472656,83.0460696220398
58,0.96763295,0.6204,0.09458,0.11215129997224764,0.4244532720016011,242.011816740036,92.22153902053833,66.63459539413452,0.3259918689727783,82.71687030792236
59,0.9915169,0.61938,0.1079,0.11062557200444785,0.4414305496818578,242.32392239570618,92.02087664604187,66.5947630405426,0.32321929931640625,83.27841639518738
60,0.97914684,0.61478,0.09528,0.10147146240773741,0.4054607317756161,240.78715229034424,91.8346688747406,66.27691507339478,0.32701992988586426,82.24266195297241
61,0.91002756,0.64576,0.08972,0.10463136812573444,0.3771066309541122,241.68347024917603,92.03061437606812,67.02928590774536,0.32693910598754883,82.19011330604553
62,0.9498076,0.62574,0.08954,0.1224009091714001,0.41742375914525987,240.79424500465393,92.14084839820862,66.19483041763306,0.32224535942077637,82.0304627418518
63,0.91578114,0.6439,0.11248,0.11754659783810355,0.39324653679602983,240.02499961853027,91.93584275245667,66.98209881782532,0.3197932243347168,80.67490339279175
64,0.92680603,0.63856,0.08672,0.10453316505288471,0.39343433054095867,241.4752230644226,92.03753399848938,66.65590405464172,0.3274414539337158,82.34883856773376
65,0.9637648,0.61856,0.1075,0.10730221313579481,0.4141652250320643,240.1563642024994,91.96684551239014,66.60891819000244,0.3241884708404541,81.15093445777893
66,0.98303556,0.61434,0.1084,0.11156528381249256,0.4610513548021115,239.59877967834473,92.05969023704529,67.1106903553009,0.3276331424713135,79.99331212043762
67,0.9073746,0.6471,0.09308,0.12513173656432722,0.3905530004095077,240.01919984817505,91.91448831558228,66.84492182731628,0.32029080390930176,80.83323812484741
68,0.9005174,0.64846,0.11628,0.11419286305915462,0.3959298508402892,241.11301255226135,91.98089861869812,66.977712392807,0.3226916790008545,81.72501373291016
69,0.86008716,0.67094,0.10338,0.11684999601007916,0.5165066002711396,241.98348259925842,91.90118050575256,66.77653908729553,0.3237936496734619,82.87556338310242
70,0.98176265,0.61102,0.09384,0.09007205007161866,0.4273398070627159,240.71449780464172,92.07689046859741,66.57094240188599,0.32520413398742676,81.6354513168335
71,0.94045395,0.634,0.10794,0.11545501320273331,0.3888629166494819,240.69756054878235,92.24856972694397,66.40630841255188,0.32269716262817383,81.60819911956787
72,0.9450467,0.63198,0.09384,0.11378046044843534,0.45135537177880086,240.71234464645386,91.94509625434875,65.91353964805603,0.3400077819824219,82.40540909767151
73,0.87915367,0.65086,0.09046,0.09125218456067792,0.37090714296104726,239.52329277992249,91.79026675224304,65.69291186332703,0.3279306888580322,81.60603666305542
74,0.8533718,0.66886,0.09568,0.12222229498118524,0.3898665480931743,240.0145354270935,91.96727633476257,66.32941603660583,0.32285356521606445,81.28836059570312
75,0.84303576,0.67344,0.10604,0.11948884578610808,0.42787551595203027,241.43223881721497,92.17415833473206,66.49031853675842,0.3290727138519287,82.3302481174469
76,0.81663454,0.68538,0.116,0.11240802423079514,0.42452648974799856,241.2111268043518,92.18896079063416,66.92828226089478,0.3254721164703369,81.66261029243469
77,0.88041365,0.66038,0.09794,0.10315445317801022,0.4132679524413343,241.1756148338318,92.39406752586365,66.101154088974,0.3235156536102295,82.25155067443848
78,0.9025726,0.64152,0.0981,0.11606443157409314,0.39024563213185254,239.90153789520264,92.28211951255798,66.8768322467804,0.3268001079559326,80.30926132202148
79,0.86946404,0.66076,0.08956,0.11820647077023681,0.41259025298215846,239.09050703048706,91.82772541046143,67.0167908668518,0.3358299732208252,79.80233836174011
80,0.8813258,0.65546,0.09222,0.11235987460601485,0.44167275626326835,241.71761178970337,92.39490818977356,66.8354229927063,0.32190608978271484,82.05940008163452
81,0.8747859,0.65942,0.09338,0.1172252016547497,0.41148660968631323,239.395747423172,92.09563755989075,66.40442323684692,0.32650303840637207,80.46258091926575
82,0.8985407,0.64976,0.09074,0.11964507586315298,0.4210860821968698,240.63913321495056,92.15378975868225,66.59583878517151,0.3367037773132324,81.44648337364197
83,0.9016103,0.64718,0.10744,0.12248545155630869,0.42420456224624964,238.75479173660278,92.512038230896,66.2266776561737,0.3177769184112549,79.59133195877075
84,0.9348347,0.63024,0.09276,0.10860752451600969,0.42753384916513726,241.5780062675476,92.39557838439941,67.26210474967957,0.32703685760498047,81.48631072044373
85,0.86288166,0.66492,0.09224,0.11167356230740305,0.4146733813218718,241.74520587921143,91.93610119819641,66.83261179924011,0.32296276092529297,82.54695963859558
86,0.9162483,0.63932,0.08212,0.10689061963935151,0.3808542590928707,240.00394201278687,92.02672982215881,66.48517727851868,0.3270747661590576,81.05868935585022
87,0.8581028,0.66154,0.11982,0.11951270539362285,0.446226719415883,240.84561467170715,92.27076888084412,66.71427702903748,0.3288700580596924,81.42591619491577
88,0.86917055,0.6547,0.09194,0.11790546933305422,0.4193439163785365,239.5052559375763,92.25952577590942,66.2909185886383,0.3269798755645752,80.52045226097107
89,0.7329126,0.71488,0.1174,0.12832349353340386,0.4386084823767644,240.57383823394775,92.53594446182251,66.85583186149597,0.3322105407714844,80.74286532402039
90,0.8620928,0.66568,0.08454,0.12100454859345348,0.4232597595326987,239.75811100006104,92.31344199180603,66.47624325752258,0.3252725601196289,80.53780913352966
91,0.91808486,0.6369,0.09576,0.11025738520856018,0.4136299337247317,241.05548977851868,92.35755681991577,66.90714645385742,0.3245687484741211,81.36079740524292
92,0.8656245,0.66376,0.09492,0.12166600450674954,0.4432280435495768,240.12843346595764,92.34520554542542,67.00678086280823,0.3225741386413574,80.34475827217102
93,0.8806423,0.65302,0.10206,0.11717331625831622,0.43604669764764203,239.62265944480896,92.59911870956421,66.4762008190155,0.3239593505859375,80.11586999893188
94,0.9717969,0.61964,0.09096,0.1135023707473317,0.42864762007924945,240.2361991405487,91.89496803283691,67.248615026474,0.3204638957977295,80.65749001502991
95,0.73244995,0.71696,0.07956,0.12034813347984101,0.4219615744318341,239.33832907676697,92.33473610877991,65.96527576446533,0.3287339210510254,80.60352206230164
96,0.85405916,0.66198,0.09274,0.11854368976789996,0.4562085458729944,239.2926423549652,92.2390878200531,67.06119894981384,0.32494044303894043,79.55583047866821
97,0.9550766,0.6322,0.09518,0.10590807268407477,0.4418048351283729,239.40629243850708,92.17216682434082,67.00683450698853,0.3234996795654297,79.79724836349487
98,0.9566312,0.63608,0.09804,0.1259537199083975,0.45072978292817684,240.98969388008118,92.26654124259949,66.42579770088196,0.32747983932495117,81.86232042312622
99,0.8578855,0.66214,0.09026,0.13487253886988732,0.4255448870135962,238.9420518875122,91.88371539115906,66.41931486129761,0.3281831741333008,80.20325756072998
